,BRAZILIAN,BRITISH,CAJUN_CREOLE,CHINESE,FILIPINO,FRENCH,GREEK,INDIAN,IRISH,ITALIAN,JAMAICAN,JAPANESE,KOREAN,MEXICAN,MOROCCAN,RUSSIAN,SOUTHERN_US,SPANISH,THAI,VIETNAMESE
BRAZILIAN,195,7,2,7,32,6,1,15,4,20,15,4,0,31,0,1,33,10,12,13
BRITISH,12,162,16,4,7,45,3,13,26,40,9,11,6,29,0,27,80,10,4,3
CAJUN_CREOLE,3,7,710,9,4,13,6,9,5,12,22,4,2,27,3,0,114,12,1,3
CHINESE,5,2,4,1890,60,4,7,21,2,11,13,172,112,14,5,5,16,4,186,116
FILIPINO,14,4,4,75,379,8,1,15,3,6,27,16,21,18,3,4,25,7,43,49
FRENCH,18,180,103,34,21,1248,50,61,111,469,19,43,8,136,46,128,349,84,16,13
GREEK,1,2,9,0,1,13,473,37,3,45,0,1,0,9,34,4,4,10,2,1
INDIAN,14,27,15,37,12,30,30,2174,13,32,19,123,6,57,71,15,42,8,74,21
IRISH,0,64,7,3,6,38,5,11,206,17,7,3,2,7,1,25,35,6,1,0
ITALIAN,93,127,299,96,69,953,513,195,73,6784,54,96,26,495,286,106,535,504,63,36
JAMAICAN,0,2,4,0,1,1,0,11,1,1,189,3,0,3,2,2,4,0,1,1
JAPANESE,6,5,21,208,30,16,5,39,9,43,12,807,127,56,2,17,64,14,54,71
KOREAN,0,0,1,155,4,1,0,1,0,2,2,42,478,3,0,1,2,0,37,30
MEXICAN,74,21,119,61,43,41,29,283,16,108,77,34,19,5325,66,18,216,93,156,83
MOROCCAN,0,1,0,0,0,4,3,29,1,4,2,4,1,0,265,1,4,3,2,3
RUSSIAN,1,3,1,2,0,2,0,0,2,1,2,0,0,1,0,47,1,0,0,0
SOUTHERN_US,27,183,222,75,71,209,39,72,176,223,52,50,13,197,21,77,2778,39,33,29
SPANISH,4,7,9,1,9,14,10,9,14,20,3,4,4,30,16,11,17,184,1,3
THAI,0,0,0,9,2,0,0,8,0,0,2,2,0,0,0,0,0,0,698,69
VIETNAMESE,0,0,0,7,4,0,0,0,2,0,0,4,5,0,0,0,1,1,155,281
