,BRAZILIAN,BRITISH,CAJUN_CREOLE,CHINESE,FILIPINO,FRENCH,GREEK,INDIAN,IRISH,ITALIAN,JAMAICAN,JAPANESE,KOREAN,MEXICAN,MOROCCAN,RUSSIAN,SOUTHERN_US,SPANISH,THAI,VIETNAMESE
BRAZILIAN,241,12,5,6,21,15,3,14,4,17,11,7,1,27,4,7,25,18,13,17
BRITISH,4,358,18,9,5,97,14,29,68,58,6,4,0,14,13,27,107,22,2,7
CAJUN_CREOLE,14,17,1047,22,9,70,7,5,6,97,7,7,7,56,6,3,208,18,5,4
CHINESE,2,2,12,2117,90,19,1,24,4,25,5,115,97,24,2,2,34,8,124,92
FILIPINO,15,5,9,35,395,16,5,18,6,20,10,16,8,24,2,10,29,9,25,22
FRENCH,13,76,41,15,7,1314,42,24,61,352,7,22,5,47,21,35,124,82,3,6
GREEK,0,6,10,7,4,33,797,30,9,144,2,5,4,27,28,9,21,17,6,2
INDIAN,9,18,2,14,7,19,15,2514,6,12,21,100,2,35,56,6,32,8,54,5
IRISH,4,37,6,6,3,51,2,7,233,24,4,7,0,8,6,12,60,1,0,2
ITALIAN,35,43,87,23,29,451,166,43,37,6438,11,16,6,158,41,36,226,167,9,11
JAMAICAN,3,14,6,1,6,10,2,17,5,7,359,3,3,7,4,2,31,1,3,1
JAPANESE,5,7,2,84,11,21,5,32,8,15,1,951,49,13,2,3,28,7,26,12
KOREAN,0,2,2,93,9,6,2,7,0,8,1,41,589,8,4,3,15,7,15,20
MEXICAN,36,11,34,16,33,48,11,54,13,76,14,11,7,5659,24,12,146,78,19,8
MOROCCAN,3,1,2,5,3,21,15,42,6,20,3,0,1,7,533,2,10,16,1,3
RUSSIAN,11,90,38,32,41,194,42,41,107,207,22,34,13,70,29,282,140,70,8,13
SOUTHERN_US,37,94,208,40,32,190,21,37,83,204,29,32,8,151,14,26,3014,53,26,10
SPANISH,8,5,11,4,5,63,22,11,8,90,7,2,2,70,22,9,48,399,2,3
THAI,9,4,1,49,12,0,1,29,1,10,3,10,3,5,4,1,8,1,917,106
VIETNAMESE,18,2,5,95,33,8,2,25,2,14,3,40,25,28,6,2,14,7,281,481
