,BRAZILIAN,BRITISH,CAJUN_CREOLE,CHINESE,FILIPINO,FRENCH,GREEK,INDIAN,IRISH,ITALIAN,JAMAICAN,JAPANESE,KOREAN,MEXICAN,MOROCCAN,RUSSIAN,SOUTHERN_US,SPANISH,THAI,VIETNAMESE
BRAZILIAN,214,1,0,0,11,1,0,3,1,4,4,1,0,9,0,1,9,1,1,0
BRITISH,1,206,2,2,1,26,1,4,27,14,5,2,1,2,2,6,13,2,0,1
CAJUN_CREOLE,8,4,1030,4,2,26,3,1,2,12,6,1,2,9,1,7,171,19,1,0
CHINESE,1,5,8,2325,135,8,1,13,3,12,17,240,202,13,3,4,21,5,156,125
FILIPINO,10,0,1,25,368,4,3,2,1,2,5,9,2,8,0,5,8,6,9,17
FRENCH,7,153,43,18,14,1391,27,8,81,235,9,15,3,61,11,99,151,74,5,5
GREEK,1,3,2,1,1,13,697,17,2,64,0,3,0,5,12,5,5,10,3,1
INDIAN,19,25,8,25,20,29,22,2749,9,31,40,122,4,35,118,14,42,11,86,24
IRISH,0,42,1,1,1,17,0,0,248,6,0,1,0,1,1,16,18,1,0,1
ITALIAN,71,110,155,46,40,827,352,28,82,7112,27,46,10,151,83,83,375,346,17,16
JAMAICAN,2,2,0,4,1,2,0,3,2,1,273,1,0,2,0,0,2,1,1,0
JAPANESE,0,2,1,51,5,4,1,4,1,3,1,880,64,5,1,5,10,2,8,14
KOREAN,0,0,0,31,4,0,0,1,0,3,0,22,501,1,2,3,1,0,3,4
MEXICAN,85,19,79,34,38,49,26,92,18,122,67,25,21,5978,51,29,233,133,53,33
MOROCCAN,0,1,1,0,0,5,13,22,2,5,3,0,0,7,504,0,8,10,1,1
RUSSIAN,0,5,2,6,0,4,0,1,1,3,1,1,0,1,1,120,6,0,0,0
SOUTHERN_US,32,224,207,47,77,222,23,26,183,189,60,42,11,125,26,87,3229,44,17,16
SPANISH,2,2,5,1,2,15,6,2,3,16,0,0,0,20,3,5,13,321,0,3
THAI,13,0,0,39,28,0,0,27,0,2,6,11,7,4,1,0,4,1,1133,208
VIETNAMESE,1,0,1,13,7,3,0,0,1,2,2,1,2,1,1,0,1,2,45,356
